model,roc_auc,accuracy,precision,recall,f1
Hist Gradient Boosting,0.8038779355151751,0.700763701731068,0.06810532450079089,0.7648882782834354,0.1250741043514075
Random Forest,0.799508685171207,0.7058750555581937,0.06822464448658834,0.751998778789093,0.12509969328196235
Logistic Regression,0.7936944449967858,0.7060276571756642,0.06738701652113019,0.7409029328143187,0.12353794134186859
