variable,coefficient,odds_ratio,percent_change_odds
credit_score,-0.7360236644883805,0.4790148574130966,-52.098514258690344
num_borrowers,-0.36257811872308204,0.6958799503021349,-30.41200496978651
dti,0.3474904059264198,1.4155107300354395,41.55107300354395
ltv,0.2569522796566988,1.2929834236742586,29.298342367425857
first_payment_year,-0.18846982197969323,0.8282254972673831,-17.177450273261684
prop_valuation,0.18846743120446094,1.2073977588555063,20.73977588555063
loan_purpose_P,-0.1870942491705504,0.829365565685051,-17.063443431494896
state_def_rate,0.17203890430572927,1.1877240398942508,18.77240398942508
or_interest_rate,0.15997279295161948,1.1734789436590942,17.347894365909422
mi_percent,0.1063100973370649,1.1121667029718472,11.216670297184717
upb,0.08954286876285351,1.0936742167680633,9.36742167680633
loan_purpose_N,-0.08947315611674976,0.9144128111855933,-8.558718881440674
or_loan_term,0.08323313898375759,1.0867951533324183,8.679515333241827
channel_R,-0.06539802560074531,0.9366945607546721,-6.330543924532794
first_payment_month,-0.05075352743454636,0.9505129170207296,-4.94870829792704
maturity_year,0.04201223891471788,1.0429072427254569,4.290724272545687
prop_type_SF,0.03879135692504715,1.0395535653692394,3.9553565369239374
occupancy_S,-0.030084272668069154,0.9703637549600785,-2.963624503992146
first_time_buyer_Y,0.02938034954349032,1.029816210120392,2.981621012039204
prop_type_MH,0.02876232176869824,1.0291799517325364,2.91799517325364
num_units_2,0.025278760777745723,1.0256009780059365,2.5600978005936526
num_units_3,0.021726703288339977,1.0219644467784026,2.196444677840259
num_units_4,0.01960594868135793,1.019799407539652,1.9799407539651925
prop_type_CP,-0.01423874338536925,0.9858621480975971,-1.413785190240291
metro_area,0.012717811385801397,1.0127990266774132,1.2799026677413172
prop_type_PU,-0.007616387187777397,0.9924125439921684,-0.7587456007831617
occupancy_P,0.005345640804554851,1.0053599542358156,0.5359954235815589
maturity_month,-0.002879019633496377,0.9971251207691421,-0.2874879230857941
channel_C,0.0015039537870251154,1.0015050852926948,0.15050852926947744
