prop_state,state_def_rate
AK,0.05740181268882175
AL,0.04387096774193548
AR,0.047407407407407405
AZ,0.038099030930572146
CA,0.05669486115544207
CO,0.041927500363954
CT,0.06546426185704743
DC,0.081145584725537
DE,0.05547652916073969
FL,0.07940577137974102
GA,0.05385920271416455
GU,0.05128205128205128
HI,0.08751793400286945
IA,0.031077348066298343
ID,0.02956989247311828
IL,0.054737592020897646
IN,0.03554803216250529
KS,0.04336224149432955
KY,0.03673798950343157
LA,0.08085501858736059
MA,0.048357900181018876
MD,0.051357733175914994
ME,0.038461538461538464
MI,0.04454832943764609
MN,0.04425410421127766
MO,0.04680306905370844
MS,0.04505632040050062
MT,0.030656934306569343
NC,0.04336475707034083
ND,0.03307888040712468
NE,0.04488517745302714
NH,0.04446978335233751
NJ,0.08388221619527315
NM,0.046908315565031986
NV,0.0723055934515689
NY,0.09945661123003458
OH,0.0461357625624449
OK,0.0448256779192031
OR,0.04783180026281209
PA,0.04776720351390922
PR,0.0
RI,0.05612244897959184
SC,0.04876010030649206
SD,0.04020100502512563
TN,0.03862857142857143
TX,0.06711647727272728
UT,0.02901301518438178
VA,0.04302639783828726
VI,0.1111111111111111
VT,0.04932735426008968
WA,0.039578630549285176
WI,0.028196538246789502
WV,0.05405405405405406
WY,0.02912621359223301
